Summary: {Weight} {token}: {words[0:10]}
0.2320707   47 evening        : 夕礼, 夕霞, 夕冷え, 夕景, 夕勤, 夕ごはん, 夕ご飯, 夕御飯, 夕立, 夕立ち, ...
0.0398540    5 supper         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯
0.0352625    6 dinner         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0347117   10 dusk           : 夕やみ, 夕闇, 夕蝉, 夕蟬, 夕景, 夕ぐれ, 夕暮, 夕暮れ, 夕がた, 夕方
0.0306102    6 meal           : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0303574    1 Korean         : 秋夕
0.0277366    7 twilight       : 夕空, 夕やみ, 夕闇, 夕まぐれ, 夕ぐれ, 夕暮, 夕暮れ
0.0243091    1 assembly       : 夕礼
0.0225142    4 sunset         : 夕雲, 夕焼, 夕焼け, 夕映え
0.0223999    3 cool           : 夕冷え, 夕涼み, 夕涼
0.0212526    3 mist           : 夕霞, 夕靄, 夕霧
0.0209142    3 Star           : 七夕祭, 七夕祭り, 七夕
0.0203064    4 sun            : 夕影, 夕日, 夕陽, 夕景
0.0201248    3 July           : 七夕祭, 七夕祭り, 七夕
0.0199630    3 August         : 七夕祭, 七夕祭り, 七夕
0.0181221    1 celebrated     : 秋夕
0.0178440    1 company        : 夕礼
0.0168230    2 shower         : 夕立, 夕立ち
0.0150483    2 breeze         : 夕霞, 夕風
0.0139128    1 lunar          : 秋夕
0.0137975    2 day            : 秋夕, 旦夕
0.0134420    1 shaku          : 夕
0.0134325    1 calendar       : 秋夕
0.0124718    1 month          : 秋夕
0.0116430    4 setting        : 夕景, 夕影, 夕日, 夕陽
0.0107012    1 sky            : 夕空
0.0101303    1 unit           : 夕
0.0096957    1 chill          : 夕冷え
0.0096650    3 glow           : 夕映え, 夕焼, 夕焼け
0.0093746    1 shift          : 夕勤
0.0090884    2 cicada         : 夕蝉, 夕蟬
0.0084911    4 night          : 旦夕, 昨夕, 夕べ, 朝夕
0.0084578    2 afternoon      : 夕立, 夕立ち
0.0082710    1 traditional    : 夕
0.0080304    3 light          : 夕景, 夕影, 夕明り
0.0075910    3 morning        : 朝夕, 旦夕, 朝な夕な
0.0073123    2 tide           : 夕汐, 夕潮
0.0072831    2 singing        : 夕蝉, 夕蟬
0.0070737    2 afterglow      : 夕焼, 夕焼け
0.0069801    2 sudden         : 夕立, 夕立ち
0.0069238    1 haze           : 夕靄
0.0068998    2 yesterday      : 昨夕, 夕べ
0.0067455    2 summer         : 夕立, 夕立ち
0.0063734    2 heavy          : 夕立, 夕立ち
0.0059561    1 moon           : 夕月
0.0053973    1 cloud          : 夕雲
0.0050555    1 volume         : 夕
0.0048933    1 square         : 夕
0.0046808    2 last           : 昨夕, 夕べ
0.0043311    1 lit            : 夕影
0.0043003    1 area           : 夕
0.0041288    2 red            : 夕焼, 夕焼け
0.0040658    1 landscape      : 夕景
0.0038708    1 moonflower     : 夕顔
0.0038551    1 hour           : 夕刻
0.0038099    1 brink          : 旦夕
0.0036717    1 scene          : 夕景
0.0035338    1 Lagenaria      : 夕顔
0.0035196    1 calm           : 夕凪
0.0034667    1 alba           : 夕顔
0.0034100    1 Ipomoea        : 夕顔
0.0033609    1 calabash       : 夕顔
0.0033231    1 figure         : 夕影
0.0031297    1 gourd          : 夕顔
0.0030856    1 clear          : 夕晴れ
0.0027176    1 bottle         : 夕顔
0.0026811    1 daily          : 夕菅
0.0026060    1 tonight        : 今夕
0.0019660    1 paper          : 夕刊
0.0011710    1 one            : 一夕

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2320707   47 evening
	dusk WORD[ 4,   7]: 0.0028753 夕暮
	dusk WORD[ 4,   8]: 0.0028752 夕暮れ
	dusk WORD[ 4,   9]: 0.0028748 夕がた
	dusk WORD[ 4,  10]: 0.0028748 夕方
TOKEN[ 5]: 0.0306102    6 meal
	meal WORD[ 5,   1]: 0.0074932 夕ごはん
	meal WORD[ 5,   2]: 0.0074932 夕ご飯
	meal WORD[ 5,   3]: 0.0074932 夕御飯
	meal WORD[ 5,   4]: 0.0033668 夕餉
	meal WORD[ 5,   5]: 0.0023824 夕飯
	meal WORD[ 5,   6]: 0.0023814 夕食
TOKEN[ 6]: 0.0303574    1 Korean
	Korean WORD[ 6,   1]: 0.0151787 秋夕
TOKEN[ 7]: 0.0277366    7 twilight
	twilight WORD[ 7,   1]: 0.0065257 夕空
	twilight WORD[ 7,   2]: 0.0041424 夕やみ
	twilight WORD[ 7,   3]: 0.0041424 夕闇
	twilight WORD[ 7,   4]: 0.0041423 夕まぐれ
	twilight WORD[ 7,   5]: 0.0029279 夕ぐれ
	twilight WORD[ 7,   6]: 0.0029279 夕暮
	twilight WORD[ 7,   7]: 0.0029279 夕暮れ
TOKEN[ 8]: 0.0243091    1 assembly
	assembly WORD[ 8,   1]: 0.0243091 夕礼
TOKEN[ 9]: 0.0225142    4 sunset
	sunset WORD[ 9,   1]: 0.0063193 夕雲
	sunset WORD[ 9,   2]: 0.0059829 夕焼
	sunset WORD[ 9,   3]: 0.0059829 夕焼け
	sunset WORD[ 9,   4]: 0.0042291 夕映え
TOKEN[10]: 0.0223999    3 cool
	cool WORD[10,   1]: 0.0079243 夕冷え
	cool WORD[10,   2]: 0.0072378 夕涼み
	cool WORD[10,   3]: 0.0072378 夕涼
TOKEN[11]: 0.0212526    3 mist
	mist WORD[11,   1]: 0.0089797 夕霞
	mist WORD[11,   2]: 0.0062146 夕靄
	mist WORD[11,   3]: 0.0060583 夕霧
TOKEN[12]: 0.0209142    3 Star
	Star WORD[12,   1]: 0.0091589 七夕祭
	Star WORD[12,   2]: 0.0091588 七夕祭り
	Star WORD[12,   3]: 0.0025965 七夕
TOKEN[13]: 0.0203064    4 sun
	sun WORD[13,   1]: 0.0069651 夕影
	sun WORD[13,   2]: 0.0049292 夕日
	sun WORD[13,   3]: 0.0049292 夕陽
	sun WORD[13,   4]: 0.0034829 夕景
TOKEN[14]: 0.0201248    3 July
	July WORD[14,   1]: 0.0088132 七夕祭
	July WORD[14,   2]: 0.0088131 七夕祭り
	July WORD[14,   3]: 0.0024985 七夕
TOKEN[15]: 0.0199630    3 August
	August WORD[15,   1]: 0.0087423 七夕祭
	August WORD[15,   2]: 0.0087423 七夕祭り
	August WORD[15,   3]: 0.0024784 七夕
TOKEN[16]: 0.0181221    1 celebrated
	celebrated WORD[16,   1]: 0.0090610 秋夕
TOKEN[17]: 0.0178440    1 company
	company WORD[17,   1]: 0.0178440 夕礼
TOKEN[18]: 0.0168230    2 shower
	shower WORD[18,   1]: 0.0084115 夕立
	shower WORD[18,   2]: 0.0084115 夕立ち
TOKEN[19]: 0.0150483    2 breeze
	breeze WORD[19,   1]: 0.0090771 夕霞
	breeze WORD[19,   2]: 0.0059712 夕風
TOKEN[20]: 0.0139128    1 lunar
	lunar WORD[20,   1]: 0.0069564 秋夕
TOKEN[21]: 0.0137975    2 day
	day WORD[21,   1]: 0.0056837 秋夕
	day WORD[21,   2]: 0.0024300 旦夕
TOKEN[22]: 0.0134420    1 shaku
	shaku WORD[22,   1]: 0.0067210 夕
TOKEN[23]: 0.0134325    1 calendar
	calendar WORD[23,   1]: 0.0067162 秋夕
TOKEN[24]: 0.0124718    1 month
	month WORD[24,   1]: 0.0062359 秋夕
TOKEN[25]: 0.0116430    4 setting
	setting WORD[25,   1]: 0.0034092 夕景
	setting WORD[25,   2]: 0.0034089 夕影
	setting WORD[25,   3]: 0.0024124 夕日
	setting WORD[25,   4]: 0.0024124 夕陽
TOKEN[26]: 0.0107012    1 sky
	sky WORD[26,   1]: 0.0107012 夕空
TOKEN[27]: 0.0101303    1 unit
	unit WORD[27,   1]: 0.0050652 夕
TOKEN[28]: 0.0096957    1 chill
	chill WORD[28,   1]: 0.0096957 夕冷え
TOKEN[29]: 0.0096650    3 glow
	glow WORD[29,   1]: 0.0040026 夕映え
	glow WORD[29,   2]: 0.0028312 夕焼
	glow WORD[29,   3]: 0.0028312 夕焼け
TOKEN[30]: 0.0093746    1 shift
	shift WORD[30,   1]: 0.0093746 夕勤
TOKEN[31]: 0.0090884    2 cicada
	cicada WORD[31,   1]: 0.0045442 夕蝉
	cicada WORD[31,   2]: 0.0045442 夕蟬
TOKEN[32]: 0.0084911    4 night
	night WORD[32,   1]: 0.0025780 旦夕
	night WORD[32,   2]: 0.0024300 昨夕
	night WORD[32,   3]: 0.0021194 夕べ
	night WORD[32,   4]: 0.0013637 朝夕
TOKEN[33]: 0.0084578    2 afternoon
	afternoon WORD[33,   1]: 0.0042289 夕立
	afternoon WORD[33,   2]: 0.0042289 夕立ち
TOKEN[34]: 0.0082710    1 traditional
	traditional WORD[34,   1]: 0.0041355 夕
TOKEN[35]: 0.0080304    3 light
	light WORD[35,   1]: 0.0026772 夕景
	light WORD[35,   2]: 0.0026769 夕影
	light WORD[35,   3]: 0.0026763 夕明り
TOKEN[36]: 0.0075910    3 morning
	morning WORD[36,   1]: 0.0031045 朝夕
	morning WORD[36,   2]: 0.0029344 旦夕
	morning WORD[36,   3]: 0.0015520 朝な夕な
TOKEN[37]: 0.0073123    2 tide
	tide WORD[37,   1]: 0.0036562 夕汐
	tide WORD[37,   2]: 0.0036562 夕潮
TOKEN[38]: 0.0072831    2 singing
	singing WORD[38,   1]: 0.0036415 夕蝉
	singing WORD[38,   2]: 0.0036415 夕蟬
TOKEN[39]: 0.0070737    2 afterglow
	afterglow WORD[39,   1]: 0.0035369 夕焼
	afterglow WORD[39,   2]: 0.0035369 夕焼け
TOKEN[40]: 0.0069801    2 sudden
	sudden WORD[40,   1]: 0.0034900 夕立
	sudden WORD[40,   2]: 0.0034900 夕立ち
TOKEN[41]: 0.0069238    1 haze
	haze WORD[41,   1]: 0.0069238 夕靄
TOKEN[42]: 0.0068998    2 yesterday
	yesterday WORD[42,   1]: 0.0036854 昨夕
	yesterday WORD[42,   2]: 0.0032144 夕べ
TOKEN[43]: 0.0067455    2 summer
	summer WORD[43,   1]: 0.0033728 夕立
	summer WORD[43,   2]: 0.0033728 夕立ち
TOKEN[44]: 0.0063734    2 heavy
	heavy WORD[44,   1]: 0.0031867 夕立
	heavy WORD[44,   2]: 0.0031867 夕立ち
TOKEN[45]: 0.0059561    1 moon
	moon WORD[45,   1]: 0.0059561 夕月
TOKEN[46]: 0.0053973    1 cloud
	cloud WORD[46,   1]: 0.0053973 夕雲
TOKEN[47]: 0.0050555    1 volume
	volume WORD[47,   1]: 0.0025278 夕
TOKEN[48]: 0.0048933    1 square
	square WORD[48,   1]: 0.0024467 夕
TOKEN[49]: 0.0046808    2 last
	last WORD[49,   1]: 0.0025002 昨夕
	last WORD[49,   2]: 0.0021807 夕べ
TOKEN[50]: 0.0043311    1 lit
	lit WORD[50,   1]: 0.0043311 夕影
TOKEN[51]: 0.0043003    1 area
	area WORD[51,   1]: 0.0021502 夕
TOKEN[52]: 0.0041288    2 red
	red WORD[52,   1]: 0.0020644 夕焼
	red WORD[52,   2]: 0.0020644 夕焼け
TOKEN[53]: 0.0040658    1 landscape
	landscape WORD[53,   1]: 0.0040658 夕景
TOKEN[54]: 0.0038708    1 moonflower
	moonflower WORD[54,   1]: 0.0038708 夕顔
TOKEN[55]: 0.0038551    1 hour
	hour WORD[55,   1]: 0.0038551 夕刻
TOKEN[56]: 0.0038099    1 brink
	brink WORD[56,   1]: 0.0038099 旦夕
TOKEN[57]: 0.0036717    1 scene
	scene WORD[57,   1]: 0.0036717 夕景
TOKEN[58]: 0.0035338    1 Lagenaria
	Lagenaria WORD[58,   1]: 0.0035338 夕顔
TOKEN[59]: 0.0035196    1 calm
	calm WORD[59,   1]: 0.0035196 夕凪
TOKEN[60]: 0.0034667    1 alba
	alba WORD[60,   1]: 0.0034667 夕顔
TOKEN[61]: 0.0034100    1 Ipomoea
	Ipomoea WORD[61,   1]: 0.0034100 夕顔
TOKEN[62]: 0.0033609    1 calabash
	calabash WORD[62,   1]: 0.0033609 夕顔
TOKEN[63]: 0.0033231    1 figure
	figure WORD[63,   1]: 0.0033231 夕影
TOKEN[64]: 0.0031297    1 gourd
	gourd WORD[64,   1]: 0.0031297 夕顔
TOKEN[65]: 0.0030856    1 clear
	clear WORD[65,   1]: 0.0030856 夕晴れ
TOKEN[66]: 0.0027176    1 bottle
	bottle WORD[66,   1]: 0.0027176 夕顔
TOKEN[67]: 0.0026811    1 daily
	daily WORD[67,   1]: 0.0026811 夕菅
TOKEN[68]: 0.0026060    1 tonight
	tonight WORD[68,   1]: 0.0026060 今夕
TOKEN[69]: 0.0019660    1 paper
	paper WORD[69,   1]: 0.0019660 夕刊
TOKEN[70]: 0.0011710    1 one
	one WORD[70,   1]: 0.0011710 一夕
