Summary: {Weight} {token}: {words[0:10]}
0.0827171    2 oxidation      : 次亜, 亜
0.0486071    2 state          : 次亜, 亜
0.0354224    1 subhuman       : 亜人
0.0349084    1 suborder       : 亜目
0.0344207    1 subgenus       : 亜属
0.0334164    1 Argentinian    : 亜人
0.0332508    1 subphylum      : 亜門
0.0316314    3 America        : 亜墨利加, 亜米利加, 亜
0.0309929    3 person         : 亜人, 亜流, 亜
0.0276041    2 linseed        : 亜麻仁, 亜麻
0.0268473    2 cake           : 西伯利亜, 西比利亜
0.0263136    2 American       : 亜人, 亜
0.0260816    1 subdivision    : 亜門
0.0242806    1 prosper        : 興亜
0.0235640    1 subspecies     : 亜種
0.0207326    2 Russia         : 露西亜, 魯西亜
0.0194649    1 raising        : 興亜
0.0175554    1 development    : 興亜
0.0158876    1 Linum          : 亜麻
0.0158617    1 chalk          : 白亜
0.0158066    2 sponge         : 西伯利亜, 西比利亜
0.0149723    1 lignite        : 亜炭
0.0149471    1 making         : 興亜
0.0144689    1 flaxseed       : 亜麻仁
0.0137765    2 second         : 亜聖, 亜ぐ
0.0133618    1 flax           : 亜麻
0.0131457    1 next           : 亜ぐ
0.0129183    2 bean           : 西伯利亜, 西比利亜
0.0128098    1 rank           : 亜ぐ
0.0127829    2 paste          : 西伯利亜, 西比利亜
0.0121515    2 inferior       : 亜流, 亜
0.0119857    2 sweet          : 西伯利亜, 西比利亜
0.0117434    2 mass           : 亜墨利加, 亜米利加
0.0116430    1 sage           : 亜聖
0.0109500    1 rock           : 白亜
0.0108790    1 come           : 亜ぐ
0.0104092    1 wall           : 白亜
0.0102556    1 coal           : 亜炭
0.0102544    2 made           : 西伯利亜, 西比利亜
0.0097012    1 epigone        : 亜流
0.0094281    2 land           : 亜墨利加, 亜米利加
0.0093723    1 white          : 白亜
0.0091594    1 brown          : 亜炭
0.0088357    1 dumbbell       : 亜鈴
0.0086025    1 imitator       : 亜流
0.0083110    1 Argentina      : 亜
0.0082811    1 copycat        : 亜流
0.0076096    1 adherent       : 亜流
0.0072095    1 order          : 亜聖
0.0071599    1 zinc           : 亜鉛
0.0071500    1 belonging      : 亜流
0.0070545    1 follow         : 亜ぐ
0.0066167    1 follower       : 亜流
0.0062086    1 imitation      : 亜流
0.0056666    1 car            : 起亜
0.0053674    1 thought        : 亜流
0.0052047    1 poor           : 亜流
0.0050582    1 company        : 起亜
0.0049589    1 low            : 亜
0.0042215    1 school         : 亜流

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0827171    2 oxidation
	sponge WORD[21,   2]: 0.0079033 西比利亜
TOKEN[22]: 0.0149723    1 lignite
	lignite WORD[22,   1]: 0.0149723 亜炭
TOKEN[23]: 0.0149471    1 making
	making WORD[23,   1]: 0.0149471 興亜
TOKEN[24]: 0.0144689    1 flaxseed
	flaxseed WORD[24,   1]: 0.0144689 亜麻仁
TOKEN[25]: 0.0137765    2 second
	second WORD[25,   1]: 0.0078236 亜聖
	second WORD[25,   2]: 0.0059528 亜ぐ
TOKEN[26]: 0.0133618    1 flax
	flax WORD[26,   1]: 0.0133618 亜麻
TOKEN[27]: 0.0131457    1 next
	next WORD[27,   1]: 0.0131457 亜ぐ
TOKEN[28]: 0.0129183    2 bean
	bean WORD[28,   1]: 0.0064592 西伯利亜
	bean WORD[28,   2]: 0.0064591 西比利亜
TOKEN[29]: 0.0128098    1 rank
	rank WORD[29,   1]: 0.0128098 亜ぐ
TOKEN[30]: 0.0127829    2 paste
	paste WORD[30,   1]: 0.0063914 西伯利亜
	paste WORD[30,   2]: 0.0063914 西比利亜
TOKEN[31]: 0.0121515    2 inferior
	inferior WORD[31,   1]: 0.0061174 亜流
	inferior WORD[31,   2]: 0.0060342 亜
TOKEN[32]: 0.0119857    2 sweet
	sweet WORD[32,   1]: 0.0059929 西伯利亜
	sweet WORD[32,   2]: 0.0059929 西比利亜
TOKEN[33]: 0.0117434    2 mass
	mass WORD[33,   1]: 0.0058717 亜墨利加
	mass WORD[33,   2]: 0.0058717 亜米利加
TOKEN[34]: 0.0116430    1 sage
	sage WORD[34,   1]: 0.0116430 亜聖
TOKEN[35]: 0.0109500    1 rock
	rock WORD[35,   1]: 0.0109500 白亜
TOKEN[36]: 0.0108790    1 come
	come WORD[36,   1]: 0.0108790 亜ぐ
TOKEN[37]: 0.0104092    1 wall
	wall WORD[37,   1]: 0.0104092 白亜
TOKEN[38]: 0.0102556    1 coal
	coal WORD[38,   1]: 0.0102556 亜炭
TOKEN[39]: 0.0102544    2 made
	made WORD[39,   1]: 0.0051272 西伯利亜
	made WORD[39,   2]: 0.0051272 西比利亜
TOKEN[40]: 0.0097012    1 epigone
	epigone WORD[40,   1]: 0.0097012 亜流
TOKEN[41]: 0.0094281    2 land
	land WORD[41,   1]: 0.0047141 亜墨利加
	land WORD[41,   2]: 0.0047141 亜米利加
TOKEN[42]: 0.0093723    1 white
	white WORD[42,   1]: 0.0093723 白亜
TOKEN[43]: 0.0091594    1 brown
	brown WORD[43,   1]: 0.0091594 亜炭
TOKEN[44]: 0.0088357    1 dumbbell
	dumbbell WORD[44,   1]: 0.0088357 亜鈴
TOKEN[45]: 0.0086025    1 imitator
	imitator WORD[45,   1]: 0.0086025 亜流
TOKEN[46]: 0.0083110    1 Argentina
	Argentina WORD[46,   1]: 0.0083110 亜
TOKEN[47]: 0.0082811    1 copycat
	copycat WORD[47,   1]: 0.0082811 亜流
TOKEN[48]: 0.0076096    1 adherent
	adherent WORD[48,   1]: 0.0076096 亜流
TOKEN[49]: 0.0072095    1 order
	order WORD[49,   1]: 0.0072095 亜聖
TOKEN[50]: 0.0071599    1 zinc
	zinc WORD[50,   1]: 0.0071599 亜鉛
TOKEN[51]: 0.0071500    1 belonging
	belonging WORD[51,   1]: 0.0071500 亜流
TOKEN[52]: 0.0070545    1 follow
	follow WORD[52,   1]: 0.0070545 亜ぐ
TOKEN[53]: 0.0066167    1 follower
	follower WORD[53,   1]: 0.0066167 亜流
TOKEN[54]: 0.0062086    1 imitation
	imitation WORD[54,   1]: 0.0062086 亜流
TOKEN[55]: 0.0056666    1 car
	car WORD[55,   1]: 0.0056666 起亜
TOKEN[56]: 0.0053674    1 thought
	thought WORD[56,   1]: 0.0053674 亜流
TOKEN[57]: 0.0052047    1 poor
	poor WORD[57,   1]: 0.0052047 亜流
TOKEN[58]: 0.0050582    1 company
	company WORD[58,   1]: 0.0050582 起亜
TOKEN[59]: 0.0049589    1 low
	low WORD[59,   1]: 0.0049589 亜
TOKEN[60]: 0.0042215    1 school
	school WORD[60,   1]: 0.0042215 亜流
