Summary: {Weight} {token}: {words[0:10]}
0.0532707    3 less           : 以内, 以上, 以下
0.0363484    1 south          : 以南
0.0300141    1 moreover       : 以て
0.0297885    1 emphasis       : 以て
0.0293780    1 preceding      : 以て
0.0286039    1 today          : 以て
0.0274259    1 excepting      : 以外
0.0265818    1 grounds        : 所以
0.0264128    1 unreasonable   : 以ての外
0.0260857    1 northward      : 以北
0.0256260    1 absurd         : 以ての外
0.0248367    1 date           : 以て
0.0245466    1 addition       : 以て
0.0244883    1 eastward       : 以東
0.0243636    1 end            : 以上
0.0239120    1 foregoing      : 以上
0.0235147    1 westward       : 以西
0.0232715    1 henceforth     : 以来
0.0232712    1 reason         : 所以
0.0226469    1 due            : 以て
0.0225557    1 account        : 以て
0.0211445    1 hereafter      : 以後
0.0211440    1 onward         : 以降
0.0210307    1 upwards        : 以上
0.0208197    1 beneath        : 以下
0.0207048    1 exceeding      : 以下
0.0205135    1 word           : 以て
0.0202135    1 excluding      : 以外
0.0188965    1 exception      : 以外
0.0180581    1 day            : 以て
0.0180509    1 west           : 以西
0.0179534    1 syllabary      : 以呂波
0.0177241    1 north          : 以北
0.0177013    1 east           : 以東
0.0167634    1 seeing         : 以上
0.0161042    1 following      : 以下
0.0159917    1 time           : 以て
0.0156044    1 standard       : 以下
0.0155033    1 rest           : 以下
0.0154295    1 past           : 以前
0.0147781    1 level          : 以下
0.0144760    1 times          : 以前
0.0142572    1 former         : 以前
0.0133894    1 traditional    : 以呂波
0.0099253    1 Japanese       : 以呂波
0.0068793    1 one            : 以上

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0532707    3 less
	excluding WORD[28,   1]: 0.0202135 以外
TOKEN[29]: 0.0188965    1 exception
	exception WORD[29,   1]: 0.0188965 以外
TOKEN[30]: 0.0180581    1 day
	day WORD[30,   1]: 0.0180581 以て
TOKEN[31]: 0.0180509    1 west
	west WORD[31,   1]: 0.0180509 以西
TOKEN[32]: 0.0179534    1 syllabary
	syllabary WORD[32,   1]: 0.0179534 以呂波
TOKEN[33]: 0.0177241    1 north
	north WORD[33,   1]: 0.0177241 以北
TOKEN[34]: 0.0177013    1 east
	east WORD[34,   1]: 0.0177013 以東
TOKEN[35]: 0.0167634    1 seeing
	seeing WORD[35,   1]: 0.0167634 以上
TOKEN[36]: 0.0161042    1 following
	following WORD[36,   1]: 0.0161042 以下
TOKEN[37]: 0.0159917    1 time
	time WORD[37,   1]: 0.0159917 以て
TOKEN[38]: 0.0156044    1 standard
	standard WORD[38,   1]: 0.0156044 以下
TOKEN[39]: 0.0155033    1 rest
	rest WORD[39,   1]: 0.0155033 以下
TOKEN[40]: 0.0154295    1 past
	past WORD[40,   1]: 0.0154295 以前
TOKEN[41]: 0.0147781    1 level
	level WORD[41,   1]: 0.0147781 以下
TOKEN[42]: 0.0144760    1 times
	times WORD[42,   1]: 0.0144760 以前
TOKEN[43]: 0.0142572    1 former
	former WORD[43,   1]: 0.0142572 以前
TOKEN[44]: 0.0133894    1 traditional
	traditional WORD[44,   1]: 0.0133894 以呂波
TOKEN[45]: 0.0099253    1 Japanese
	Japanese WORD[45,   1]: 0.0099253 以呂波
TOKEN[46]: 0.0068793    1 one
	one WORD[46,   1]: 0.0068793 以上
